120 180
90 169 -17080
91 169 -16550
92 169 -16430
93 169 -14900
94 169 -16440
95 169 -16129
96 169 -13710
97 169 -16250
98 169 -17360
99 169 -17020
100 169 -16280
101 169 -15650
102 169 -15740
103 169 -13970
104 169 -13050
105 169 -12070
106 169 -12070
107 169 -12420
108 169 -12240
109 169 -12180
110 169 -12180
111 169 -12390
61 168 -19060
62 168 -19200
64 168 -18350
65 168 -18110
66 168 -18050
67 168 -18600
68 168 -18330
69 168 -18420
70 168 -17990
71 168 -16680
72 168 -17110
73 168 -14950
74 168 -14200
75 168 -14270
76 168 -14310
77 168 -14830
78 168 -14890
79 168 -15610
80 168 -16170
81 168 -16480
82 168 -16710
83 168 -16320
84 168 -16010
85 168 -15820
86 168 -15820
87 168 -14060
88 168 -14060
89 168 -15330
90 168 -15960
91 168 -16329
92 168 -15840
93 168 -14900
94 168 -15260
95 168 -14070
96 168 -14190
97 168 -13930
98 168 -13640
99 168 -14620
100 168 -14620
101 168 -14870
102 168 -15450
103 168 -13520
104 168 -12850
105 168 -12040
106 168 -12040
107 168 -12200
108 168 -12240
109 168 -12180
110 168 -12150
111 168 -12150
31 167 -15660
32 167 -15660
33 167 -17920
34 167 -18600
35 167 -18390
36 167 -18140
37 167 -16110
38 167 -16290
39 167 -16290
40 167 -17380
41 167 -16020
42 167 -17200
43 167 -16870
44 167 -17070
45 167 -16810
46 167 -16350
47 167 -16720
48 167 -16720
49 167 -17370
50 167 -17330
51 167 -17410
52 167 -16870
53 167 -17380
54 167 -18400
55 167 -17980
56 167 -17080
57 167 -17780
58 167 -17760
59 167 -16990
60 167 -16990
61 167 -17740
62 167 -17850
63 167 -18000
64 167 -18210
65 167 -18050
66 167 -17540
67 167 -18130
68 167 -18260
69 167 -18100
70 167 -16239
71 167 -16239
72 167 -16560
73 167 -14650
74 167 -14200
75 167 -14160
76 167 -14230
77 167 -14810
78 167 -14880
79 167 -15450
80 167 -16180
81 167 -16329
82 167 -16329
83 167 -16020
84 167 -15750
85 167 -15750
86 167 -14660
87 167 -14000
88 167 -14960
89 167 -15610
90 167 -16050
91 167 -15940
92 167 -15840
93 167 -14920
94 167 -15000
95 167 -15220
96 167 -14130
97 167 -13350
98 167 -13640
99 167 -13870
100 167 -14740
101 167 -14670
102 167 -14870
103 167 -14400
104 167 -12620
105 167 -11720
106 167 -11820
107 167 -11900
108 167 -12010
109 167 -11960
110 167 -12150
111 167 -12150
15 166 -17700
16 166 -17570
17 166 -16640
18 166 -16980
19 166 -17080
20 166 -17250
21 166 -17050
22 166 -17390
23 166 -17420
24 166 -18000
25 166 -18000
26 166 -17330
27 166 -17230
28 166 -16950
29 166 -16660
30 166 -16740
31 166 -15660
32 166 -15620
33 166 -17440
34 166 -18120
35 166 -18200
36 166 -16810
37 166 -15730
38 166 -15320
39 166 -15320
40 166 -15520
41 166 -15610
42 166 -16710
43 166 -16860
44 166 -16329
45 166 -16290
46 166 -16360
47 166 -16210
48 166 -16720
49 166 -16880
50 166 -16880
51 166 -17120
52 166 -16830
53 166 -17470
54 166 -18350
55 166 -17800
56 166 -17350
57 166 -17740
58 166 -18320
59 166 -16000
60 166 -17010
61 166 -17900
62 166 -17640
63 166 -18150
64 166 -17890
65 166 -17370
66 166 -17370
67 166 -18260
68 166 -18260
69 166 -17660
70 166 -16059
71 166 -16239
72 166 -14650
73 166 -14410
74 166 -14250
75 166 -14260
76 166 -14190
77 166 -14220
78 166 -14900
79 166 -15820
80 166 -16190
81 166 -16120
82 166 -16410
83 166 -15720
84 166 -15470
85 166 -14300
86 166 -13920
87 166 -13770
88 166 -14630
89 166 -15640
90 166 -16440
91 166 -16129
92 166 -15820
93 166 -14920
94 166 -14250
95 166 -13740
96 166 -14810
97 166 -7450
98 166 -13660
99 166 -14330
100 166 -14450
101 166 -14450
102 166 -14490
103 166 -14490
104 166 -12910
105 166 -11590
106 166 -11390
107 166 -11630
108 166 -11530
109 166 -11580
110 166 -11930
111 166 -12180
15 165 -17870
16 165 -16650
17 165 -16550
18 165 -16840
19 165 -16530
20 165 -17060
21 165 -17050
22 165 -17330
23 165 -17420
24 165 -17700
25 165 -17760
26 165 -17110
27 165 -17090
28 165 -16950
29 165 -16950
30 165 -16450
31 165 -15960
32 165 -15620
33 165 -17380
34 165 -18020
35 165 -17760
36 165 -17040
37 165 -16010
38 165 -15320
39 165 -15320
40 165 -15270
41 165 -15600
42 165 -16129
43 165 -16880
44 165 -16320
45 165 -16290
46 165 -16000
47 165 -16000
48 165 -16990
49 165 -16920
50 165 -16940
51 165 -16800
52 165 -16990
53 165 -17140
54 165 -18520
55 165 -17960
56 165 -17400
57 165 -18270
58 165 -15120
59 165 -15120
60 165 -17030
61 165 -17450
62 165 -17240
63 165 -17910
64 165 -17390
65 165 -17180
66 165 -17370
67 165 -18200
68 165 -17920
69 165 -17170
70 165 -15370
71 165 -14570
72 165 -14160
73 165 -13930
74 165 -13930
75 165 -14210
76 165 -14190
77 165 -14380
78 165 -15100
79 165 -15990
80 165 -16170
81 165 -16120
82 165 -15970
83 165 -15690
84 165 -14060
85 165 -14100
86 165 -14060
87 165 -14600
88 165 -14690
89 165 -15520
90 165 -16379
91 165 -16050
92 165 -14970
93 165 -14970
94 165 -15200
95 165 -13740
96 165 -15740
97 165 -7450
98 165 -13710
99 165 -13670
100 165 -13170
101 165 -13530
102 165 -13530
103 165 -14570
104 165 -14710
105 165 -11940
106 165 -11720
107 165 -11400
108 165 -11060
109 165 -11100
110 165 -11510
111 165 -12230
16 164 -16780
17 164 -16850
18 164 -16910
19 164 -16450
20 164 -17060
21 164 -17330
22 164 -17390
23 164 -17470
24 164 -17410
25 164 -16950
26 164 -16720
27 164 -16720
28 164 -16680
29 164 -16450
30 164 -16280
31 164 -15700
32 164 -15670
33 164 -16360
34 164 -17820
35 164 -16890
36 164 -15720
37 164 -15700
38 164 -15330
39 164 -15220
40 164 -15740
41 164 -15630
42 164 -15660
43 164 -16660
44 164 -16450
45 164 -16079
46 164 -16170
47 164 -16370
48 164 -16260
49 164 -16790
50 164 -16570
51 164 -16510
52 164 -17270
53 164 -17850
54 164 -18730
55 164 -16329
56 164 -16329
57 164 -17460
58 164 -17050
59 164 -15300
60 164 -15360
61 164 -17430
62 164 -17140
63 164 -17140
64 164 -17200
65 164 -16780
66 164 -17770
67 164 -17810
68 164 -17560
69 164 -16790
70 164 -14920
71 164 -14220
72 164 -14030
73 164 -13860
74 164 -13810
75 164 -14290
76 164 -14620
77 164 -14850
78 164 -15240
79 164 -15910
80 164 -15810
81 164 -15850
82 164 -16370
83 164 -15250
84 164 -14400
85 164 -14580
86 164 -14520
87 164 -14570
88 164 -14990
89 164 -15560
90 164 -16230
91 164 -15990
92 164 -15330
93 164 -14640
94 164 -13970
95 164 -11660
96 164 -11660
97 164 -14890
98 164 -13680
99 164 -13320
100 164 -13950
101 164 -13560
102 164 -13030
103 164 -14230
104 164 -14120
105 164 -13710
106 164 -11450
107 164 -11370
108 164 -11170
109 164 -10980
110 164 -11220
111 164 -11420
16 163 -16780
17 163 -16850
18 163 -17080
19 163 -16920
20 163 -17080
21 163 -17390
22 163 -17210
