120 180
90 169 -17080
91 169 -16550
92 169 -16430
93 169 -14900
94 169 -16440
95 169 -16129
96 169 -13710
97 169 -16250
98 169 -17360
99 169 -17020
100 169 -16280
101 169 -15650
102 169 -15740
103 169 -13970
104 169 -13050
105 169 -12070
106 169 -12070
107 169 -12420
108 169 -12240
109 169 -12180
110 169 -12180
111 169 -12390
61 168 -19060
62 168 -19200
64 168 -18350
65 168 -18110
66 168 -18050
67 168 -18600
68 168 -18330
69 168 -18420
70 168 -17990
71 168 -16680
72 168 -17110
73 168 -14950
74 168 -14200
75 168 -14270
76 168 -14310
77 168 -14830
78 168 -14890
79 168 -15610
80 168 -16170
81 168 -16480
82 168 -16710
83 168 -16320
84 168 -16010
85 168 -15820
86 168 -15820
87 168 -14060
88 168 -14060
89 168 -15330
90 168 -15960
91 168 -16329
92 168 -15840
93 168 -14900
94 168 -15260
95 168 -14070
96 168 -14190
97 168 -13930
98 168 -13640
99 168 -14620
100 168 -14620
101 168 -14870
102 168 -15450
103 168 -13520
104 168 -12850
105 168 -12040
106 168 -12040
107 168 -12200
108 168 -12240
109 168 -12180
110 168 -12150
111 168 -12150
31 167 -15660
32 167 -15660
33 167 -17920
34 167 -18600
35 167 -18390
36 167 -18140
37 167 -16110
38 167 -16290
39 167 -16290
40 167 -17380
41 167 -16020
42 167 -17200
43 167 -16870
44 167 -17070
45 167 -16810
46 167 -16350
47 167 -16720
48 167 -16720
49 167 -17370
50 167 -17330
51 167 -17410
52 167 -16870
53 167 -17380
54 167 -18400
55 167 -17980
56 167 -17080
57 167 -17780
